Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
BI Data Analyst / Specialist,57-70 ,3.6,"Global Technical Talent, LLC","Westlake, TX","Portsmouth, NH",501 to 1000 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,27.0,57.0,70,63.5
Data Analyst,28-52 ,4.2,CyberCoders,"Columbus, OH","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,27.0,28.0,52,40.0
Data Analyst,28-52 ,3.6,Olive,"Columbus, OH","Columbus, OH",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,14.0,28.0,52,40.0
Data Analyst-Quality Improvement Services,28-52 ,3.7,Nationwide Children's Hospital,"Columbus, OH","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,134.0,28.0,52,40.0
Data Analyst,28-52 ,2.9,The Paragon Group,"Columbus, OH","SUNDERLAND, United Kingdom",1001 to 5000 employees,1985,Company - Public,Banks & Credit Unions,Finance,$500 million to $1 billion (USD),-1,-1,41.0,28.0,52,40.0
Fraud Data Analyst,28-52 ,3.5,Abercrombie & Fitch Co.,"Columbus, OH","New Albany, OH",10000+ employees,1892,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD),"American Eagle Outfitters, Ralph Lauren, J. Crew",-1,134.0,28.0,52,40.0
Software Engineer - Data Analyst,28-52 ,3.9,JPMorgan Chase,"Columbus, OH","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,227.0,28.0,52,40.0
Data Analyst,28-52 ,-1.0,Beacon Hill Technologies,"Columbus, OH",-1,-1,-1,-1,-1,-1,-1,-1,-1,,28.0,52,40.0
Business Data Analyst,28-52 ,3.8,DHL,"Westerville, OH","Bonn, Germany",10000+ employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,-1,57.0,28.0,52,40.0
Business Analyst / Data Scientist Manager,28-52 ,3.6,Abbott Laboratories,"Columbus, OH","Abbott Park, IL",10000+ employees,1888,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,-1,138.0,28.0,52,40.0
Junior Data Analyst,28-52 ,5.0,"Staffigo Technical Services, LLC","Columbus, OH","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,28.0,52,40.0
Program Data Analyst,28-52 ,2.3,Economic and Community Development Institute,"Columbus, OH","Columbus, OH",1 to 50 employees,-1,Nonprofit Organization,Lending,Finance,$5 to $10 million (USD),-1,-1,,28.0,52,40.0
Business Data Analyst - I,28-52 ,2.5,"Avacend, Inc.","Hilliard, OH","Alpharetta, GA",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,,28.0,52,40.0
Planning Analyst - Data Resource Center,28-52 ,3.7,Nationwide Children's Hospital,"Columbus, OH","Columbus, OH",10000+ employees,1892,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,134.0,28.0,52,40.0
Data Analyst,28-52 ,2.8,Data Systems Integration Group Inc,"Columbus, OH","Dublin, OH",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,,28.0,52,40.0
Data Analyst,28-52 ,5.0,"Staffigo Technical Services, LLC","Columbus, OH","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,18.0,28.0,52,40.0
"Data Analyst II(Claims,SQL,Billing,Healthcare)",28-52 ,3.4,Buckeye Health Plan,"Columbus, OH","Columbus, OH",1001 to 5000 employees,2004,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,22.0,28.0,52,40.0
Data Analyst,28-52 ,4.5,Beacon Hill Staffing Group,"Columbus, OH","Boston, MA",501 to 1000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),"Aerotek, WinterWyman, Hollister Staffing",TRUE,26.0,28.0,52,40.0
"Data Analyst II(Claims,SQL,Billing,Healthcare)",28-52 ,3.4,Buckeye Community Health Plan,"Columbus, OH","Dayton, OH",51 to 200 employees,-1,Company - Private,-1,-1,$5 to $10 million (USD),-1,-1,,28.0,52,40.0
Financial Data Analyst,28-52 ,-1.0,"Aspen Careers, LLC","Columbus, OH",-1,-1,-1,-1,-1,-1,-1,-1,-1,,28.0,52,40.0
Data Validation Analyst,28-52 ,5.0,Revel IT,"Dublin, OH","Dublin, OH",201 to 500 employees,1997,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,TRUE,29.0,28.0,52,40.0
